AVL_INDEP_TIME,DATE,TIME,T_dem_E,SPEED,TORQUE,P,DC_Volt,DC_Curr,DC_Pow,SIG_Volt,SIG_Curr,SIG_Pow,MOTOR_mcu_eff,MOTOR_motor_eff,MOTOR_sys_eff,MOTOR_mcu_reg_eff,MOTOR_motor_reg_eff,MOTOR_sys_reg_eff,Freq_U,Freq_V,Freq_W,MCU_Inv_PWI,MCU_TM_PWO,MCU_Inv_TWI,mot_temp_1,L1L2_Volt,L1L3_Volt,L2L3_Volt,L1L2_Curr,L1L3_Curr,L2L3_Curr,INV_PF_SIGMA,C50_Int_Flow,Flux,Inv_Flux,ModulationIndex_cal,MCU_ModulationIndex,v2m_vehicleReq,v2m_controlModeReq,daxisCurrCmd,daxisCurrFbk,qaxisCurrCmd,qaxisCurrFbk,MotorTemp,Dummy1,Dummy2
119,2026/5/22,14:59:12,0,5500,-2.2,-1247,663.71,-0.4,-264,389.86,0,-622,239.31,202.34,487.53,42.13,49.75,21.1,0,0,0,1.93,0.75,25.5,27,388.5,391.54,389.53,0,0,0,0,12.37,0.078872,0.0008,0.7534,0.7433,3,1,0,0.2802,0,0.0303,48,1267.87,1
120,2026/5/22,14:59:24,20,5500,17,9760,663.71,16.45,10919,396.52,15.45,10478,95.96,93.14,89.38,104.21,107.37,111.89,0,0,0,1.93,0.75,25.5,27,394.77,399.17,395.61,15.83,15.58,14.95,0.99,12.4,0.078838,0.0008,0.7663,0.7958,3,1,-2,-1.977,23,23.0918,47,1268.42,1
121,2026/5/22,14:59:35,40,5500,36.7,21146,663.71,33.95,22535,408.29,31.76,22025,97.74,96.03,93.86,102.32,104.13,106.55,366.673,366.63,366.666,1.94,0.75,25.4,27,406.33,411.84,406.69,32.32,31.92,31.05,0.98,12.41,0.078824,0.0008,0.789,0.8206,3,1,-10,-10.015,45,44.892,46,1268.69,1
122,2026/5/22,14:59:47,60,5500,56,32239,663.71,51.14,33943,425.99,47.06,33355,98.27,96.64,94.97,101.76,103.47,105.3,366.495,366.666,366.729,1.95,0.76,25.3,27,424.27,428.63,425.06,47.7,47.38,46.11,0.96,12.43,0.078801,0.0008,0.8233,0.8529,3,1,-19,-18.7261,65,64.7444,46,1269,1
123,2026/5/22,14:59:58,80,5500,74.9,43140,663.71,68.15,45229,443.08,61.64,44548,98.49,96.86,95.4,101.53,103.25,104.82,366.679,366.604,366.678,1.94,0.75,25.3,27,441.4,446.42,441.43,62.37,61.89,60.66,0.94,12.46,0.078775,0.0008,0.8562,0.8859,3,1,-30,-30.1344,83,83.1588,46,1269.46,1
124,2026/5/22,15:00:09,100,5500,95.1,54756,663.71,86.26,57252,452.11,76.95,56478,98.65,96.95,95.64,101.37,103.15,104.56,366.631,366.719,366.625,1.95,0.75,25.2,27,449.83,456.09,450.4,77.74,77.18,75.94,0.94,12.47,0.062909,0.0006,0.8737,0.9016,3,1,-48,-47.8419,98.8333,98.7056,47,1589.55,1
125,2026/5/22,15:00:19,120,5500,115,66215,663.71,104.36,69263,451.51,92.84,68351,98.68,96.88,95.6,101.33,103.22,104.6,366.65,366.683,366.667,1.95,0.76,25.2,27,449.63,454.69,450.2,93.65,93.31,91.55,0.94,12.47,0.062363,0.0006,0.8725,0.9027,3,1,-72.307,-72.2191,111,110.9723,48,1603.62,1
126,2026/5/22,15:00:31,140,5500,134,77146,663.7,121.8,80836,451.01,108.8,79772,98.68,96.71,95.43,101.34,103.4,104.78,366.658,366.658,366.627,1.96,0.76,25.2,27,448.34,455.38,449.33,109.72,109.15,107.54,0.94,12.52,0.062134,0.0006,0.8715,0.9008,3,1,-96.4912,-96.8633,121.5088,121.2382,50,1609.4,1
127,2026/5/22,15:00:43,160,5500,153.6,88442,663.7,140.04,92948,450.51,126.33,91716,98.67,96.43,95.15,101.34,103.7,105.1,366.687,366.708,366.687,1.96,0.76,25.2,27,448.52,454.54,448.49,127.39,126.85,124.76,0.93,12.51,0.061674,0.0006,0.8706,0.9006,3,1,-123.4561,-124.1426,131,130.5351,53,1621.35,1
128,2026/5/22,15:00:52,180,5500,172.4,99295,663.71,157.82,104744,450.33,144.34,103307,98.63,96.12,94.8,101.39,104.04,105.49,366.663,366.672,366.648,1.96,0.76,25.2,27,448.5,454.85,447.65,145.76,144.75,142.53,0.92,12.54,0.061579,0.0006,0.8702,0.903,3,1,-151.3684,-151.4568,139.2368,139.0698,57,1623.97,1
129,2026/5/22,15:01:03,200,5500,192.2,110676,663.71,176.87,117388,450.25,165.21,115714,98.57,95.65,94.28,101.45,104.55,106.06,366.707,366.708,366.702,1.96,0.76,25.3,27,448.28,456,446.47,166.91,165.47,163.24,0.9,12.57,0.061179,0.0006,0.8701,0.9026,3,1,-184.0088,-184.1856,146.4474,146.5516,62,1634.61,1
130,2026/5/22,15:01:15,220,5500,211.8,122012,663.72,196.5,130419,450.31,189.18,128422,98.47,95.01,93.55,101.55,105.26,106.89,366.67,366.646,366.656,1.97,0.76,25.3,27,448.45,456.21,446.26,191.15,189.55,186.85,0.87,12.58,0.060886,0.0006,0.8702,0.9008,3,1,-222.1754,-221.7967,152.2368,152.0282,69.1,1642.46,1
131,2026/5/22,15:01:26,240,5500,230.3,132640,663.72,216.03,143379,450.59,217.46,140946,98.3,94.11,92.51,101.72,106.26,108.09,366.654,366.65,366.679,1.97,0.76,25.4,27,448.92,457.23,445.61,219.68,218.2,214.51,0.83,12.57,0.060996,0.0006,0.8707,0.9026,3,1,-267.5965,-267.4507,155.6842,155.8486,78.3,1639.39,1
132,2026/5/22,15:03:52,260,5500,242.8,139847,663.71,229.9,152585,450.63,245.66,149703,98.11,93.41,91.65,101.93,107.05,109.11,366.65,366.653,366.646,1.97,0.76,26.2,27.3,449.67,457.61,444.59,248.3,246.6,242.07,0.78,12.61,0.061232,0.0006,0.8708,0.9029,3,1,-313,-312.7704,155.6053,155.1677,67,1633.1,1
133,2026/5/22,15:04:02,270,5500,242.2,139477,663.71,229.98,152638,450.48,245.66,149756,98.11,93.14,91.38,101.92,107.36,109.43,366.64,366.659,366.676,1.97,0.76,26.3,27.3,449.92,457.17,444.34,248.18,246.57,242.23,0.78,12.63,0.061096,0.0006,0.8705,0.9016,3,1,-313.2174,-313.437,155.0174,155.2642,75.7,1636.93,1
2,2026/5/22,10:58:19,0,6000,-1.7,-1050,663.73,0.01,9,443.36,0.2,-319,1301.28,332.83,3994.9,-4.55,30.37,-1.01,0,0,0,1.97,0.76,25.7,24.5,441.72,445.47,442.88,0,0.61,0,0,12.61,0.072291,0.0007,0.8567,0.8533,3,1,0,0.1847,0,0.013,30,1383.29,1
3,2026/5/22,10:58:31,20,6000,17.9,11265,663.73,18.83,12500,448.69,15.92,12080,96.65,93.23,90.11,103.47,107.26,110.98,0,0,0,1.97,0.76,25.7,24.5,447.19,451.47,447.43,16.2,16.38,15.18,0.98,12.59,0.072267,0.0007,0.867,0.8926,3,1,-2,-2.1633,23,23.1326,30,1383.73,1
4,2026/5/22,10:59:04,40,6000,38.5,24159,663.74,38.58,25608,452.42,32.46,25128,98.14,96.14,94.35,101.9,104.01,105.99,399.974,400.127,400.027,1.97,0.76,25.7,24.6,449.99,455.46,451.82,32.9,32.77,31.71,0.99,12.62,0.057435,0.0006,0.8742,0.9022,3,1,-13.3684,-13.1584,44.6316,44.3344,30,1741.11,1
5,2026/5/22,10:59:17,60,6000,58,36415,663.74,57.52,38182,452,48.41,37618,98.52,96.81,95.38,101.5,103.29,104.84,399.931,400.12,400.049,1.98,0.76,25.8,24.6,449.59,455.64,450.76,49,48.75,47.48,0.99,12.62,0.057,0.0006,0.8734,0.9011,3,1,-31.0088,-30.9112,61.9912,61.7919,30.6,1754.29,1
6,2026/5/22,10:59:29,80,6000,77.4,48670,663.73,76.54,50805,451.33,64.62,50145,98.71,97.06,95.8,101.31,103.03,104.38,400,400.101,400.138,1.97,0.76,25.8,24.6,448.76,454.62,450.62,65.25,64.95,63.65,0.99,12.63,0.056705,0.0006,0.8722,0.9006,3,1,-51.2018,-50.9325,76.7982,77.204,31.1,1763.54,1
7,2026/5/22,10:59:42,100,6000,96.9,60859,663.75,95.69,63515,450.96,81.08,62704,98.72,97.07,95.83,101.3,103.02,104.36,399.947,400,400.038,1.98,0.76,25.9,24.6,448.66,454.43,449.8,81.81,81.55,79.89,0.99,12.61,0.056788,0.0006,0.8713,0.9009,3,1,-72.8597,-72.8884,90,90.21,33,1760.96,1
8,2026/5/22,10:59:54,120,6000,116.5,73220,663.73,115.19,76451,450.32,98.3,75501,98.76,96.98,95.78,101.26,103.11,104.41,399.942,399.971,399.979,1.98,0.76,25.9,24.7,448,454.75,448.21,99.23,98.78,96.9,0.98,12.61,0.05654,0.0006,0.8702,0.9028,3,1,-96.4912,-96.4423,101.7807,101.8407,35,1768.62,1
9,2026/5/22,11:00:06,140,6000,136,85425,663.73,134.69,89397,449.85,116.09,88276,98.74,96.77,95.56,101.27,103.34,104.65,400.017,399.995,400.02,1.97,0.76,26,24.6,447.68,454.29,447.58,117.01,116.72,114.55,0.98,12.63,0.056408,0.0006,0.8692,0.9023,3,1,-122.0088,-121.8654,112.0175,112.0293,38,1772.81,1
10,2026/5/22,11:00:19,160,6000,155,97392,663.72,154.07,102258,449.48,134.7,100954,98.72,96.47,95.23,101.29,103.66,105,399.976,399.974,399.964,1.98,0.76,26.1,24.6,447.38,454.45,446.61,135.84,135.31,132.93,0.96,12.62,0.056509,0.0006,0.8686,0.9004,3,1,-149.3509,-149.5135,120.9035,121.0567,42.1,1769.73,1
11,2026/5/22,11:03:03,180,6000,174.4,109610,663.73,174.16,115593,449.31,155.39,114035,98.65,96.12,94.83,101.37,104.03,105.45,400.033,399.959,399.97,1.98,0.76,26.6,24.8,447.8,454.7,445.43,156.75,156.19,153.22,0.94,12.63,0.056479,0.0006,0.8682,0.9033,3,1,-180.0614,-180.101,128.9035,129.3767,41,1770.69,1
12,2026/5/22,11:03:15,200,6000,193.7,121722,663.73,194.74,129256,449.46,179.04,127427,98.59,95.52,94.17,101.44,104.69,106.19,399.974,400.015,400.007,1.98,0.76,26.7,24.8,448,455.74,444.64,180.81,179.78,176.54,0.91,12.65,0.056324,0.0006,0.8685,0.9023,3,1,-216.5351,-216.5193,135.2368,136.353,47.3,1775.43,1
13,2026/5/22,11:03:28,220,6000,213.2,133922,663.72,216.73,143848,449.77,209.37,141559,98.41,94.59,93.09,101.61,105.71,107.42,400.009,399.972,400.017,1.98,0.76,26.8,24.8,449.05,456.28,443.99,211.23,210.48,206.4,0.87,12.66,0.056506,0.0006,0.8692,0.9004,3,1,-263.313,-263.8233,140.2174,140.2574,57.3,1770.05,1
14,2026/5/22,11:03:40,230,6000,221.7,139276,663.74,227.6,151068,449.8,229.45,148459,98.27,93.82,92.2,101.76,106.59,108.47,400.007,400.007,399.977,1.98,0.77,26.9,24.9,449.97,457.16,442.26,231.65,230.52,226.19,0.83,12.65,0.056761,0.0006,0.8691,0.902,3,1,-295.2105,-295.5568,140.5526,140.9367,70.5,1762.11,1
36,2026/5/22,11:13:33,240,6000,222.7,139921,663.75,229.97,152640,449.8,242.87,149825,98.16,93.39,91.67,101.88,107.08,109.09,399.974,400.01,400.019,1.95,0.76,25.7,25.6,450.64,457.18,441.58,245.29,244.48,238.85,0.79,12.47,0.056453,0.0006,0.8692,0.905,3,1,-316.4649,-315.8193,138.7105,138.6093,74,1771.34,1
134,2026/5/22,15:06:12,0,6500,-1.6,-1098,663.71,0.09,62,458.83,0,-268,19195.94,429.51,65721.66,-28.71,24.31,-5.73,0,0,0,1.96,0.76,26.9,27.3,457.39,460.91,458.19,0,0,0,0,12.55,0.066688,0.0007,0.8866,0.8799,3,1,0,0.0268,0,0.4478,64,1499.5,1
135,2026/5/22,15:06:23,20,6500,17.8,12142,663.71,20.28,13463,453.5,17.01,13022,96.73,93.26,90.2,103.38,107.23,110.86,0,0,0,1.96,0.76,26.9,27.2,452.09,456.18,452.23,17.16,17.46,16.42,0.97,12.51,0.055012,0.0006,0.8763,0.901,3,1,-8.6754,-8.6703,23,23.5112,62,1817.77,1
136,2026/5/22,15:06:34,40,6500,37.5,25547,663.7,40.91,27151,452.23,34.36,26635,98.09,95.91,94.08,101.94,104.26,106.29,433.277,433.312,433.381,1.96,0.76,26.9,27.2,450.08,455.97,450.64,34.78,34.78,33.53,0.99,12.53,0.054393,0.0005,0.8739,0.901,3,1,-23.9737,-24.2433,43,43.1981,60,1838.39,1
137,2026/5/22,15:06:44,60,6500,56.3,38304,663.71,60.66,40263,451.54,50.96,39662,98.51,96.58,95.14,101.52,103.54,105.11,433.4,433.253,433.406,1.96,0.76,26.9,27.1,449.24,455.53,449.87,51.46,51.44,49.99,1,12.52,0.054055,0.0005,0.8725,0.9028,3,1,-42.6842,-42.6521,59,59.0961,59,1849.94,1
138,2026/5/22,15:06:55,80,6500,75.4,51287,663.71,80.92,53706,450.94,68.06,53003,98.69,96.76,95.49,101.33,103.35,104.72,433.349,433.413,433.216,1.95,0.76,26.9,27.2,449.05,454.82,448.93,68.6,68.69,66.88,1,12.51,0.053688,0.0005,0.8714,0.9061,3,1,-63.9123,-63.6882,73,72.4909,58,1862.68,1
139,2026/5/22,15:07:05,100,6500,95.9,65262,663.71,102.88,68284,450.35,86.88,67423,98.74,96.79,95.57,101.28,103.32,104.64,433.375,433.371,433.303,1.95,0.76,26.9,27.1,448.75,454.81,447.49,87.6,87.59,85.44,0.99,12.48,0.052895,0.0005,0.8703,0.903,3,1,-89.0614,-88.8781,85.9386,85.8619,58,1890.51,1
140,2026/5/22,15:07:16,120,6500,114,77599,663.71,122.56,81341,449.76,104.29,80315,98.74,96.62,95.4,101.28,103.5,104.82,433.273,433.286,433.366,1.95,0.76,26.9,27.2,448.18,454.66,446.43,105.1,105.1,102.67,0.99,12.49,0.052643,0.0005,0.8691,0.8985,3,1,-113.2982,-114.5618,96,95.7218,58.9,1899.53,1
141,2026/5/22,15:07:26,140,6500,134.2,91379,663.71,144.72,96054,449.27,124.94,94833,98.73,96.36,95.13,101.29,103.78,105.12,433.313,433.371,433.308,1.95,0.76,27,27.2,448.06,454.66,445.1,125.96,125.94,122.92,0.98,12.52,0.052043,0.0005,0.8682,0.8999,3,1,-143.0175,-143.4389,105.7368,106.1495,60.3,1921.5,1
142,2026/5/22,15:07:37,160,6500,152.3,103679,663.7,164.96,109481,449.1,145.29,108036,98.68,95.97,94.7,101.34,104.2,105.59,433.33,433.381,433.343,1.94,0.76,27,27.2,448.35,455.57,443.39,146.73,146.36,142.76,0.96,12.47,0.051991,0.0005,0.8678,0.9012,3,1,-173.0702,-173.0856,113.2719,114.2451,63.6,1923.39,1
143,2026/5/22,15:07:48,180,6500,172.3,117271,663.71,188.1,124843,449.44,171.65,123061,98.57,95.29,93.93,101.45,104.94,106.46,433.32,433.326,433.324,1.94,0.76,27,27.2,449.58,455.76,442.99,173.2,172.92,168.83,0.92,12.47,0.051507,0.0005,0.8685,0.9064,3,1,-212.7105,-212.1979,120,120.8582,68.5,1941.33,1
144,2026/5/22,15:07:58,200,6500,191.9,130636,663.71,212.56,141080,449.8,208.55,138778,98.37,94.13,92.59,101.66,106.24,108,433.355,433.335,433.367,1.94,0.76,27.1,27.2,451.25,457,441.15,210.6,209.94,205.1,0.85,12.44,0.051465,0.0005,0.8692,0.9032,3,1,-269.7719,-269.3676,123.7719,124.3314,75,1943.04,1
145,2026/5/22,15:09:42,220,6500,198.7,135219,663.72,223.81,148548,450.49,245.13,145672,98.06,92.83,91.03,101.98,107.73,109.85,433.323,433.344,433.32,1.88,0.75,27.2,27.3,454.5,458.07,438.92,248,247.03,240.35,0.76,12.13,0.051227,0.0005,0.8705,0.8998,3,1,-327,-328.3953,121.0088,121.6884,68,1952.26,1
146,2026/5/22,15:09:52,230,6500,198.1,134824,663.72,223.8,148535,450.4,245.09,145657,98.06,92.56,90.77,101.98,108.03,110.17,433.313,433.347,433.313,1.87,0.75,27.1,27.2,454.49,457.86,438.85,247.88,247.08,240.29,0.76,12.12,0.051115,0.0005,0.8703,0.9027,3,1,-327,-326.938,120.614,121.6084,76.6,1956.4,1
15,2026/5/22,11:05:28,0,7000,-1.8,-1293,663.73,-0.06,-42,467.35,15.08,-439,-479.78,303.62,-2087.97,7.05,34.01,3.26,0,0,0,1.98,0.77,27.6,25.1,466.74,469.46,465.85,14.44,15.73,15.06,-0.04,12.66,0.050996,0.0005,0.9031,0.9014,3,1,-20.2696,-20.3233,0,0.4398,63,1960.9,1
16,2026/5/22,11:05:40,20,7000,18.3,13398,663.73,22.38,14852,458.42,25.58,14369,96.75,93.24,90.2,103.36,107.25,110.86,0,0,0,1.98,0.77,27.6,25.1,455.41,461.97,457.87,25.69,26.21,24.84,0.71,12.68,0.049983,0.0005,0.8859,0.9001,3,1,-29.2368,-29.2286,21,21.3554,60,2000.69,1
17,2026/5/22,11:05:51,40,7000,37.6,27549,663.73,44.1,29270,454.54,41.02,28728,98.15,95.9,94.13,101.88,104.28,106.24,466.675,466.638,466.395,1.98,0.77,27.6,25.1,451.56,458.12,453.95,41.29,41.58,40.2,0.89,12.65,0.04945,0.0005,0.8783,0.8997,3,1,-43.3565,-43.5624,39,39.1557,57,2022.12,1
18,2026/5/22,11:06:04,60,7000,57.2,41962,663.73,66.44,44095,452.5,58.05,43451,98.54,96.58,95.17,101.48,103.55,105.08,466.661,466.591,466.613,1.98,0.77,27.6,25.1,449.77,456.88,450.84,58.5,58.71,56.95,0.95,12.64,0.049214,0.0005,0.8744,0.8993,3,1,-61.6491,-61.2756,55,55.2082,55,2031.93,1
19,2026/5/22,11:06:16,80,7000,77,56436,663.73,89.07,59116,451.17,75.9,58358,98.72,96.69,95.45,101.3,103.42,104.77,466.72,466.637,466.671,1.98,0.77,27.6,25.1,449.49,455.25,448.77,76.3,76.84,74.56,0.98,12.64,0.049019,0.0005,0.8718,0.9021,3,1,-83.1228,-82.8104,69,69.0303,54,2040.06,1
20,2026/5/22,11:06:28,100,7000,96.4,70666,663.73,111.43,73960,450.15,94.11,73033,98.75,96.78,95.57,101.27,103.33,104.64,466.676,466.669,466.631,1.98,0.77,27.6,25.1,448.8,455.06,446.58,94.73,95.19,92.41,1,12.62,0.048689,0.0005,0.8698,0.9012,3,1,-106.9825,-107.3261,80.8684,80.7563,54,2053.88,1
21,2026/5/22,11:06:39,120,7000,115.1,84385,663.73,133.26,88449,449.22,112.78,87360,98.77,96.59,95.4,101.25,103.53,104.82,466.664,466.673,466.677,1.98,0.77,27.6,25.1,448.84,453.91,444.91,113.44,114.16,110.74,1,12.62,0.048594,0.0005,0.868,0.9016,3,1,-132.3519,-132.6306,91.0648,90.8793,55,2057.88,1
22,2026/5/22,11:06:51,140,7000,135,98994,663.73,156.94,104162,448.66,134.43,102855,98.74,96.25,95.04,101.27,103.9,105.22,466.623,466.644,466.645,1.97,0.77,27.6,25.1,448.56,454.59,442.83,135.33,136.09,131.88,0.98,12.6,0.048136,0.0005,0.867,0.9007,3,1,-162.9811,-163.6358,100.5094,100.6987,57.3,2077.38,1
23,2026/5/22,11:07:02,160,7000,153.7,112651,663.73,179.73,119292,448.87,157.55,117706,98.67,95.71,94.44,101.35,104.48,105.89,466.677,466.683,466.637,1.97,0.77,27.6,25.1,450.1,455.08,441.42,158.79,159.21,154.65,0.96,12.63,0.048187,0.0005,0.8674,0.9007,3,1,-196.6293,-197.0221,108,107.4215,61,2075.33,1
24,2026/5/22,11:07:15,180,7000,173.2,126991,663.73,204.55,135765,449.12,188.62,133763,98.52,94.94,93.54,101.5,105.33,106.91,466.657,466.616,466.616,1.97,0.77,27.7,25.1,450.95,456.38,440.05,190.27,190.41,185.17,0.91,12.59,0.048329,0.0005,0.8678,0.9015,3,1,-243.1404,-243.2782,113.9912,113.5282,68.7,2068.9,1
25,2026/5/22,11:07:27,190,7000,181.2,132833,663.73,215.89,143294,449.31,208.09,141000,98.4,94.2,92.7,101.63,106.15,107.88,466.661,466.663,466.721,1.97,0.77,27.7,25.1,452.08,457.56,438.27,210.3,209.68,204.28,0.87,12.59,0.048735,0.0005,0.8682,0.9013,3,1,-273.3596,-273.3361,115.0614,115.1747,77.6,2052.03,1
37,2026/5/22,11:15:09,200,7000,184.7,135389,663.75,222.19,147472,449.8,229.47,144842,98.22,93.47,91.81,101.82,106.98,108.93,466.687,466.698,466.69,1.97,0.76,25.7,25.7,454.5,457.81,437.11,231.95,231.6,224.86,0.81,12.53,0.048252,0.0005,0.8691,0.905,3,1,-306.3217,-305.9732,113.4087,113.4104,71,2072.1,1
147,2026/5/22,15:14:11,0,7500,-1.9,-1472,663.71,-0.09,-61,466.78,19.6,-481,1078.77,315.77,3411.22,9.31,32.89,4.21,0,0,0,1.89,0.75,25.4,27.5,465.97,469.59,464.77,18.91,20.13,19.74,-0.03,12.12,0.049189,0.0005,0.9021,0.9041,3,1,-27,-27.1375,0,-0.2839,47,2033.02,1
148,2026/5/22,15:14:22,20,7500,17.3,13629,663.7,22.91,15202,459.69,28.7,14700,96.69,92.75,89.68,103.43,107.83,111.52,223.742,0,101.406,1.9,0.75,25.4,27.5,457.32,463.76,457.99,28.6,29.49,28.02,0.64,12.21,0.04841,0.0005,0.8883,0.9027,3,1,-35.2348,-35.1807,20,19.8207,46,2065.66,1
149,2026/5/22,15:14:32,40,7500,37,29091,663.7,46.72,31006,454.75,44.73,30436,98.16,95.55,93.79,101.87,104.66,106.62,499.875,500.089,499.981,1.9,0.75,25.3,27.5,452.49,459.7,452.06,44.88,45.62,43.67,0.86,12.25,0.047597,0.0005,0.8788,0.8997,3,1,-50.886,-50.9112,38,38.6261,45,2100.88,1
150,2026/5/22,15:14:43,60,7500,56,43983,663.7,69.91,46396,452.36,61.81,45722,98.55,96.19,94.79,101.48,103.97,105.5,499.971,499.986,500.08,1.91,0.75,25.2,27.5,450.43,457.7,448.95,62.12,62.81,60.48,0.94,12.28,0.047261,0.0005,0.8742,0.9035,3,1,-69.9386,-69.7953,53,52.5768,45,2115.86,1
151,2026/5/22,15:14:54,80,7500,76,59678,663.71,94.41,62660,450.72,80.68,61840,98.69,96.49,95.23,101.33,103.64,105.01,500.007,499.933,499.987,1.92,0.75,25.1,27.3,449.76,456.87,445.55,81.07,81.99,78.97,0.98,12.35,0.046656,0.0005,0.871,0.903,3,1,-93.4825,-93.1107,66.5176,66.1468,46,2143.38,1
152,2026/5/22,15:15:05,100,7500,95.8,75210,663.7,118.9,78916,449.39,100.5,77920,98.74,96.53,95.31,101.28,103.59,104.92,500.024,500.003,500.002,1.93,0.75,25.1,27.4,449.09,455.35,443.72,101.03,101.85,98.6,1,12.4,0.045738,0.0005,0.8684,0.9013,3,1,-119.8596,-119.7639,78,78.0433,47.8,2186.68,1
153,2026/5/22,15:15:16,120,7500,115.1,90399,663.7,143.37,95156,448.46,121.68,93956,98.74,96.19,94.98,101.28,103.96,105.29,500.011,500.027,499.938,1.93,0.75,25.1,27.4,449.79,454.56,441.03,122.31,123.45,119.28,0.99,12.37,0.045106,0.0005,0.8667,0.9019,3,1,-149.114,-149.207,87.8509,87.5637,50,2216.95,1
154,2026/5/22,15:15:27,140,7500,134,105244,663.71,167.72,111316,448.56,144.93,109858,98.69,95.79,94.54,101.33,104.39,105.78,499.965,499.996,500.01,1.94,0.75,25.1,27.5,451.16,455.08,439.45,145.8,147,142,0.98,12.43,0.044724,0.0004,0.8668,0.9015,3,1,-182.4211,-182.2235,96,95.6153,54,2236.42,1
155,2026/5/22,15:15:37,160,7500,152.7,119921,663.72,192.93,128049,449.36,174.04,126216,98.57,95.01,93.64,101.45,105.26,106.79,499.997,499.99,499.931,1.94,0.76,25,27.5,452.75,456.72,438.6,175.39,176.24,170.48,0.93,12.45,0.044686,0.0004,0.8683,0.9027,3,1,-225.3448,-225.4552,102.2241,102.3884,59.6,2237.85,1
156,2026/5/22,15:15:48,180,7500,166.6,130856,663.7,214.49,142354,449.88,216.32,139911,98.28,93.53,91.92,101.75,106.92,108.79,499.987,500.004,499.977,1.95,0.76,25.1,27.4,455.74,459.18,434.7,218.91,218.42,211.64,0.83,12.5,0.044613,0.0004,0.8694,0.9035,3,1,-289.7913,-290.48,103.4,103.441,66.9,2241.63,1
157,2026/5/22,15:15:58,190,7500,166.8,131005,663.72,216.56,143730,450.51,228.3,141100,98.17,92.85,91.15,101.86,107.71,109.71,499.98,499.987,499.986,1.95,0.76,25.1,27.3,459.53,456.48,435.51,230.27,231.57,223.05,0.79,12.49,0.044334,0.0004,0.8706,0.9062,3,1,-308.3684,-307.7233,101.693,102.2477,77.2,2255.66,1
26,2026/5/22,11:09:28,0,8000,-2,-1692,663.74,-0.21,-138,466.08,32.41,-599,233.37,287.68,427.89,21.83,35.5,8.19,533.517,533.027,506.835,1.94,0.76,27.3,25.3,464.9,469.63,463.71,31.65,33.26,32.32,-0.02,12.39,0.044329,0.0004,0.9006,0.9025,3,1,-44.9252,-44.5383,0,-0.0679,62,2255.83,1
27,2026/5/22,11:09:40,20,8000,18.8,15784,663.74,26.44,17546,461.26,39.74,17034,97.09,92.69,89.99,103,107.89,111.13,533.563,533.464,532.819,1.94,0.76,27.2,25.4,459.16,465.73,458.88,39.43,40.81,38.99,0.54,12.39,0.043857,0.0004,0.8913,0.902,3,1,-52.0087,-52.5316,20,19.9202,60,2280.09,1
28,2026/5/22,11:09:52,40,8000,38.5,32267,663.73,51.88,34431,456.04,54.1,33831,98.26,95.38,93.72,101.78,104.84,106.71,533.336,533.288,533.379,1.93,0.76,27,25.4,453.77,461.22,453.14,54.06,55.25,52.99,0.79,12.4,0.043745,0.0004,0.8812,0.9037,3,1,-66.9298,-67.107,37,36.5797,57.8,2286.09,1
29,2026/5/22,11:10:05,60,8000,57,47762,663.74,75.84,50335,453.2,69.88,49618,98.58,96.23,94.86,101.45,103.91,105.41,533.346,533.437,533.299,1.93,0.76,26.9,25.5,452.24,459.16,448.2,69.88,71.37,68.38,0.9,12.39,0.043737,0.0004,0.8758,0.9028,3,1,-84.9391,-84.6649,51,50.9984,56,2286.3,1
30,2026/5/22,11:10:16,80,8000,75.6,63300,663.73,100.26,66548,450.89,87.37,65685,98.7,96.37,95.12,101.31,103.77,105.13,533.269,533.29,533.334,1.93,0.76,26.8,25.5,451.28,456.88,444.51,87.39,89.1,85.62,0.96,12.36,0.043557,0.0004,0.8712,0.9001,3,1,-106.6228,-106.8605,63.3684,63.8344,55.9,2295.8,1
31,2026/5/22,11:10:28,100,8000,95.7,80164,663.73,126.98,84283,449.03,107.94,83233,98.75,96.31,95.11,101.26,103.83,105.14,533.255,533.308,533.357,1.93,0.76,26.8,25.5,450.17,455.69,441.23,108.24,109.82,105.77,0.99,12.34,0.042862,0.0004,0.8677,0.9034,3,1,-133.7863,-133.4056,75,75.2597,56.1,2333.18,1
32,2026/5/22,11:10:40,120,8000,114.4,95806,663.74,152.19,101014,448.28,129.06,99747,98.75,96.05,94.85,101.27,104.11,105.44,533.31,533.325,533.38,1.93,0.76,26.7,25.5,452.11,454.9,437.82,129.38,131.58,126.22,1,12.37,0.042459,0.0004,0.8662,0.904,3,1,-163.0522,-162.6843,84.4087,84.1784,59,2355.04,1
33,2026/5/22,11:10:52,140,8000,134.3,112546,663.74,179.88,119393,448.78,155.66,117815,98.68,95.52,94.26,101.34,104.69,106.09,533.323,533.322,533.316,1.93,0.76,26.6,25.5,454.18,456.17,436,156.47,158.4,152.09,0.97,12.39,0.042012,0.0004,0.8672,0.901,3,1,-201.0789,-201.4672,92.8158,93.2974,62.6,2380.71,1
